,video_id,title,views,likes,comments,duration_minutes,publish_time_hours
222,r0KXRM5GuMY,GET READY IN MY PRIVATE JET feat. Tati Westbrook,7085591,236311.0,17649.0,22.0,23.5
223,-sN33gJNko4,KYLIE COSMETICS: THE VACATION COLLECTION | Review & Swatches,10295509,277371.0,21124.0,18.5,22.28
224,9kOpgbYqkQk,THE TRUTH ABOUT MY RELATIONSHIP.,12739506,485116.0,59095.0,16.68,23.1
225,fycnVjwUbaE,$85.00 METALLIC LIP GLOSS… OMG! Review & Swatches,2427507,86338.0,9421.0,10.9,23.63
226,LVRZdANny3M,THE CHROME SUMMER 2017 COLLECTION: REVEAL & SWATCHES | Jeffree Star Cosmetics,3384750,142172.0,15541.0,18.75,23.5
227,753wnBOrrqo,TESTING THE BROW STAMP… Is It Jeffree Star Approved?,5660284,177198.0,13842.0,9.72,23.75
228,ApKlehHxbOM,MAY HOLY GRAILS… AND FAILS | 2017,2035831,75498.0,9351.0,17.85,23.65
229,8Tvw-fA63Ew,FULL FACE FIRST IMPRESSIONS | TRYING $550 OF NEW MAKEUP!,3343279,80301.0,7300.0,22.22,0.45
230,tbZ0A_JWJLQ,TESTING EXTREME MAKEUP REMOVERS! | Jeffree Star,2695440,88863.0,5978.0,10.78,23.9
231,7-exhlsE1A4,HARRY POTTER EYESHADOW PALETTE | Is It Jeffree Star Approved??,5395564,181343.0,12551.0,13.87,23.53
232,c8BFjDaSKCc,JEFFREE STAR COSMETICS x MANNY MUA COLLAB VLOG,1098841,43791.0,,13.38,23.9
233,HQl6ruRWeRI,UNICORN MAKEUP DRAMA? TRYING OUT WET N WILD'S UNICORN GLOW BOX!,3346203,132211.0,212014.0,15.82,23.65
234,13dMWlxskJI,READING MEAN HATE COMMENTS (PART 2) feat. MANNY MUA,2491859,123509.0,17459.0,14.05,23.53
235,D8SWxSsxEg4,FULL FACE USING ONLY MAYBELLINE PRODUCTS! | Jeffree Star,11324679,272399.0,14358.0,19.38,0.58
236,OC3VIZZIIbk,TESTING OUT THE WORLD'S MOST EXPENSIVE HIGHLIGHTERS feat. Laura Lee,2308143,70821.0,5857.0,16.9,23.55
237,9qdtR_gj-VY,"$2,500 ULTA DRUGSTORE HAUL! | Jeffree Star",4753810,200200.0,319768.0,19.4,7.32
238,V2j3WkRc8fg,MOST INCREDIBLE PRIVATE ISLAND ADVENTURES w. BEAUTY GURUS,1697730,59691.0,4886.0,10.58,0.42
239,ISBYsM8BzCY,"TESTING OUT GIVENCHY $65 BRONZER, MATTE FOUNDATION  + SPIKED BEAUTY SPONGE",1483287,49796.0,4073.0,17.47,0.95
240,KMuQNUfMTg0,APPLYING FOUNDATION WITH MY BOYFRIEND'S B**L S**K,4674351,142731.0,,5.48,23.53
241,oDIaLYLOG10,"KIM K + KYLIE COSMETICS: Liquid Lipsticks | Review, Swatches & Kiss Test",4068513,120385.0,11769.0,12.72,9.1
